Top 4808 candidate near-equalities (sorted by mean abs residual):
sign_target_3 ~ 1.0 * sign_input_10: mean_abs=0.0120, median_abs=0.0000, max_abs=2.0000, pct<= 0.1=0.994, pct<= 0.5=0.994
radius_target_1_2 ~ 1.6081 * radius_input_1_12: mean_abs=1.5618, median_abs=1.4168, max_abs=4.5551, pct<= 0.1=0.638, pct<= 0.5=0.960
radius_target_1_2 ~ 1.2972 * radius_input_7_12: mean_abs=1.6596, median_abs=1.4876, max_abs=4.9069, pct<= 0.1=0.596, pct<= 0.5=0.974
diff_target_3_4 ~ -1.5202 * diff_input_8_10: mean_abs=2.7865, median_abs=2.5578, max_abs=8.4267, pct<= 0.1=0.624, pct<= 0.5=0.966
diff_target_3_4 ~ -2.1770 * diff_input_1_11: mean_abs=2.6487, median_abs=2.2370, max_abs=9.4626, pct<= 0.1=0.656, pct<= 0.5=0.968
radius_target_1_2 ~ 1.4960 * radius_input_4_9: mean_abs=1.5963, median_abs=1.3828, max_abs=5.2479, pct<= 0.1=0.606, pct<= 0.5=0.960
diff_target_3_4 ~ -2.2211 * diff_input_2_11: mean_abs=2.6430, median_abs=2.2799, max_abs=9.7302, pct<= 0.1=0.654, pct<= 0.5=0.966
radius_target_1_2 ~ 1.2736 * radius_input_1_8: mean_abs=1.7703, median_abs=1.4914, max_abs=6.1902, pct<= 0.1=0.576, pct<= 0.5=0.972
radius_target_1_2 ~ 1.1009 * radius_input_7_8: mean_abs=1.8349, median_abs=1.4850, max_abs=7.0995, pct<= 0.1=0.560, pct<= 0.5=0.974
radius_target_1_2 ~ 1.6435 * radius_input_9_11: mean_abs=1.5598, median_abs=1.4083, max_abs=4.6841, pct<= 0.1=0.628, pct<= 0.5=0.954
diff_target_3_4 ~ -1.5992 * diff_input_3_11: mean_abs=2.9414, median_abs=2.6350, max_abs=9.3703, pct<= 0.1=0.606, pct<= 0.5=0.966
radius_target_1_2 ~ 1.7461 * radius_input_2_5: mean_abs=1.6370, median_abs=1.4974, max_abs=5.0537, pct<= 0.1=0.592, pct<= 0.5=0.970
radius_target_1_2 ~ 1.3233 * radius_input_4_10: mean_abs=1.7221, median_abs=1.6326, max_abs=5.2672, pct<= 0.1=0.592, pct<= 0.5=0.968
radius_target_1_2 ~ 1.1556 * radius_input_3_5: mean_abs=1.8357, median_abs=1.8046, max_abs=5.5711, pct<= 0.1=0.534, pct<= 0.5=0.970
radius_target_1_2 ~ 1.6446 * radius_input_2_12: mean_abs=1.6634, median_abs=1.5205, max_abs=5.0440, pct<= 0.1=0.596, pct<= 0.5=0.962
radius_target_1_2 ~ 1.0 * radius_input_3_4: mean_abs=2.0738, median_abs=1.7706, max_abs=7.0840, pct<= 0.1=0.492, pct<= 0.5=0.972
radius_target_1_2 ~ 1.4018 * radius_input_10_12: mean_abs=1.7928, median_abs=1.6275, max_abs=5.5562, pct<= 0.1=0.572, pct<= 0.5=0.972
radius_target_1_2 ~ 1.4455 * radius_input_8_12: mean_abs=1.7839, median_abs=1.4923, max_abs=5.9974, pct<= 0.1=0.600, pct<= 0.5=0.962
diff_target_3_4 ~ 1.8887 * diff_input_10_12: mean_abs=3.1749, median_abs=2.7502, max_abs=10.6409, pct<= 0.1=0.574, pct<= 0.5=0.976
radius_target_1_2 ~ 1.3439 * radius_input_5_7: mean_abs=1.7833, median_abs=1.6448, max_abs=6.0824, pct<= 0.1=0.582, pct<= 0.5=0.972
diff_target_3_4 ~ -2.1819 * diff_input_9_11: mean_abs=2.7227, median_abs=2.4326, max_abs=8.3378, pct<= 0.1=0.648, pct<= 0.5=0.962
radius_target_1_2 ~ 1.4217 * radius_input_10_11: mean_abs=1.7765, median_abs=1.6182, max_abs=5.3675, pct<= 0.1=0.562, pct<= 0.5=0.966
radius_target_1_2 ~ 1.6130 * radius_input_9_12: mean_abs=1.6393, median_abs=1.3956, max_abs=4.7615, pct<= 0.1=0.620, pct<= 0.5=0.952
radius_target_1_2 ~ 1.4629 * radius_input_5_10: mean_abs=1.8073, median_abs=1.6786, max_abs=5.2601, pct<= 0.1=0.544, pct<= 0.5=0.964
diff_target_3_4 ~ -1.6657 * diff_input_3_5: mean_abs=3.1247, median_abs=2.9807, max_abs=10.4846, pct<= 0.1=0.576, pct<= 0.5=0.958
diff_target_3_4 ~ -1.7461 * diff_input_4_10: mean_abs=3.0781, median_abs=2.7726, max_abs=9.3963, pct<= 0.1=0.594, pct<= 0.5=0.960
diff_target_3_4 ~ 1.8902 * diff_input_5_7: mean_abs=3.0063, median_abs=2.5657, max_abs=10.9606, pct<= 0.1=0.604, pct<= 0.5=0.960
radius_target_1_2 ~ 1.7070 * radius_input_5_9: mean_abs=1.7312, median_abs=1.5831, max_abs=4.8252, pct<= 0.1=0.572, pct<= 0.5=0.960
radius_target_1_2 ~ 1.2172 * radius_input_3_6: mean_abs=2.0286, median_abs=1.9194, max_abs=5.7252, pct<= 0.1=0.470, pct<= 0.5=0.966
radius_target_1_2 ~ 1.4654 * radius_input_8_11: mean_abs=1.9488, median_abs=1.7461, max_abs=6.7303, pct<= 0.1=0.532, pct<= 0.5=0.962
radius_target_1_2 ~ 2.2685 * radius_input_5_11: mean_abs=1.6622, median_abs=1.4244, max_abs=5.7048, pct<= 0.1=0.618, pct<= 0.5=0.962
radius_target_1_2 ~ 1.6982 * radius_input_1_5: mean_abs=1.8884, median_abs=1.6918, max_abs=5.6830, pct<= 0.1=0.520, pct<= 0.5=0.958
radius_target_1_2 ~ 1.9191 * radius_input_4_5: mean_abs=1.8551, median_abs=1.6539, max_abs=6.2095, pct<= 0.1=0.556, pct<= 0.5=0.958
radius_target_1_2 ~ 1.8284 * radius_input_4_11: mean_abs=1.8394, median_abs=1.5574, max_abs=6.1867, pct<= 0.1=0.546, pct<= 0.5=0.962
diff_target_3_4 ~ -1.9852 * diff_input_8_11: mean_abs=3.2306, median_abs=2.8252, max_abs=11.2406, pct<= 0.1=0.562, pct<= 0.5=0.952
diff_target_3_4 ~ -2.3503 * diff_input_2_5: mean_abs=3.0082, median_abs=2.6707, max_abs=10.3098, pct<= 0.1=0.580, pct<= 0.5=0.958
diff_target_3_4 ~ 2.3051 * diff_input_5_9: mean_abs=3.1223, median_abs=2.7315, max_abs=9.7190, pct<= 0.1=0.578, pct<= 0.5=0.950
radius_target_1_2 ~ 1.4439 * radius_input_6_7: mean_abs=2.0302, median_abs=1.8404, max_abs=5.7799, pct<= 0.1=0.502, pct<= 0.5=0.970
radius_target_1_2 ~ 1.0 * radius_input_3_12: mean_abs=2.5293, median_abs=2.2072, max_abs=7.5582, pct<= 0.1=0.400, pct<= 0.5=0.978
radius_target_1_2 ~ 1.7865 * radius_input_4_12: mean_abs=1.9425, median_abs=1.7649, max_abs=6.8414, pct<= 0.1=0.538, pct<= 0.5=0.956
radius_target_1_2 ~ 1.0 * radius_input_3_11: mean_abs=2.6372, median_abs=2.3201, max_abs=7.8708, pct<= 0.1=0.384, pct<= 0.5=0.980
radius_target_1_2 ~ 1.9857 * radius_input_2_6: mean_abs=1.9898, median_abs=1.8941, max_abs=7.2574, pct<= 0.1=0.486, pct<= 0.5=0.958
diff_target_3_4 ~ -2.3957 * diff_input_4_11: mean_abs=3.2799, median_abs=2.8248, max_abs=10.7894, pct<= 0.1=0.556, pct<= 0.5=0.966
radius_target_1_2 ~ 2.0561 * radius_input_11_12: mean_abs=1.9036, median_abs=1.6403, max_abs=7.5037, pct<= 0.1=0.564, pct<= 0.5=0.966
radius_target_1_2 ~ 1.5085 * radius_input_5_8: mean_abs=2.1741, median_abs=1.9040, max_abs=7.8496, pct<= 0.1=0.480, pct<= 0.5=0.950
radius_target_1_2 ~ 1.0 * radius_input_7_8: mean_abs=2.4451, median_abs=2.1656, max_abs=8.3729, pct<= 0.1=0.450, pct<= 0.5=0.970
radius_target_3_4 ~ 1.4793 * radius_input_3_7: mean_abs=3.8543, median_abs=3.3346, max_abs=14.7687, pct<= 0.1=0.436, pct<= 0.5=0.966
radius_target_1_2 ~ 1.9177 * radius_input_1_6: mean_abs=2.1232, median_abs=1.8990, max_abs=7.1553, pct<= 0.1=0.472, pct<= 0.5=0.960
radius_target_1_2 ~ 1.5943 * radius_input_6_10: mean_abs=2.1732, median_abs=1.9025, max_abs=5.6379, pct<= 0.1=0.486, pct<= 0.5=0.956
radius_target_3_4 ~ 1.5394 * radius_input_3_10: mean_abs=3.7986, median_abs=3.2014, max_abs=14.6895, pct<= 0.1=0.434, pct<= 0.5=0.958
diff_target_3_4 ~ -2.5499 * diff_input_4_5: mean_abs=3.3826, median_abs=2.7569, max_abs=11.4242, pct<= 0.1=0.564, pct<= 0.5=0.956
diff_target_3_4 ~ -2.2937 * diff_input_1_5: mean_abs=3.4977, median_abs=3.1828, max_abs=10.9835, pct<= 0.1=0.518, pct<= 0.5=0.954
radius_target_3_4 ~ 1.6365 * radius_input_1_3: mean_abs=3.8157, median_abs=3.2509, max_abs=14.6960, pct<= 0.1=0.424, pct<= 0.5=0.960
radius_target_3_4 ~ 1.5608 * radius_input_3_8: mean_abs=3.9206, median_abs=3.3845, max_abs=14.1319, pct<= 0.1=0.428, pct<= 0.5=0.962
radius_target_1_2 ~ 2.1873 * radius_input_5_12: mean_abs=1.9718, median_abs=1.6605, max_abs=7.0888, pct<= 0.1=0.524, pct<= 0.5=0.958
radius_target_3_4 ~ 1.6388 * radius_input_3_9: mean_abs=3.8224, median_abs=3.2221, max_abs=14.7867, pct<= 0.1=0.430, pct<= 0.5=0.964
radius_target_3_4 ~ 1.6519 * radius_input_2_3: mean_abs=3.8458, median_abs=3.2396, max_abs=13.3573, pct<= 0.1=0.408, pct<= 0.5=0.964
diff_target_3_4 ~ 2.6733 * diff_input_11_12: mean_abs=3.4430, median_abs=2.9787, max_abs=13.5397, pct<= 0.1=0.552, pct<= 0.5=0.962
radius_target_3_4 ~ 2.2187 * radius_input_2_9: mean_abs=3.7575, median_abs=3.2334, max_abs=13.4764, pct<= 0.1=0.422, pct<= 0.5=0.960
radius_target_1_2 ~ 1.9287 * radius_input_6_9: mean_abs=2.0914, median_abs=1.9496, max_abs=6.7317, pct<= 0.1=0.494, pct<= 0.5=0.954
radius_target_3_4 ~ 2.2126 * radius_input_1_2: mean_abs=3.7954, median_abs=3.2388, max_abs=14.0201, pct<= 0.1=0.410, pct<= 0.5=0.962
diff_target_3_4 ~ 2.0830 * diff_input_5_8: mean_abs=3.7578, median_abs=3.2372, max_abs=14.0263, pct<= 0.1=0.496, pct<= 0.5=0.944
radius_target_1_2 ~ 1.0 * radius_input_3_5: mean_abs=2.8984, median_abs=2.7097, max_abs=8.3510, pct<= 0.1=0.322, pct<= 0.5=0.976
radius_target_3_4 ~ 1.7053 * radius_input_7_10: mean_abs=3.9975, median_abs=3.6961, max_abs=13.1505, pct<= 0.1=0.374, pct<= 0.5=0.964
radius_target_3_4 ~ 2.6422 * radius_input_2_11: mean_abs=3.7378, median_abs=3.1881, max_abs=12.4111, pct<= 0.1=0.434, pct<= 0.5=0.974
radius_target_3_4 ~ 1.7870 * radius_input_3_11: mean_abs=3.9821, median_abs=3.2589, max_abs=14.8590, pct<= 0.1=0.412, pct<= 0.5=0.966
radius_target_3_4 ~ 1.8622 * radius_input_2_7: mean_abs=4.0167, median_abs=3.5877, max_abs=12.6035, pct<= 0.1=0.382, pct<= 0.5=0.966
radius_target_3_4 ~ 1.9604 * radius_input_1_10: mean_abs=3.9221, median_abs=3.6443, max_abs=12.6660, pct<= 0.1=0.370, pct<= 0.5=0.970
radius_target_3_4 ~ 1.7050 * radius_input_3_4: mean_abs=3.9647, median_abs=3.2243, max_abs=15.1312, pct<= 0.1=0.416, pct<= 0.5=0.956
radius_target_3_4 ~ 1.7712 * radius_input_3_12: mean_abs=4.0046, median_abs=3.1122, max_abs=13.6640, pct<= 0.1=0.426, pct<= 0.5=0.956
diff_target_3_4 ~ 2.8662 * diff_input_5_12: mean_abs=3.5697, median_abs=2.8692, max_abs=13.1580, pct<= 0.1=0.532, pct<= 0.5=0.952
radius_target_3_4 ~ 1.9876 * radius_input_2_10: mean_abs=3.8860, median_abs=3.4038, max_abs=15.4551, pct<= 0.1=0.396, pct<= 0.5=0.960
radius_target_3_4 ~ 1.9634 * radius_input_9_10: mean_abs=3.9586, median_abs=3.3957, max_abs=14.8853, pct<= 0.1=0.414, pct<= 0.5=0.962
radius_target_3_4 ~ 1.8347 * radius_input_8_10: mean_abs=4.0617, median_abs=3.6868, max_abs=12.9867, pct<= 0.1=0.382, pct<= 0.5=0.962
radius_target_1_2 ~ 1.6542 * radius_input_6_8: mean_abs=2.4701, median_abs=2.1875, max_abs=8.1112, pct<= 0.1=0.448, pct<= 0.5=0.952
radius_target_3_4 ~ 2.1782 * radius_input_1_9: mean_abs=4.0081, median_abs=3.7401, max_abs=13.4940, pct<= 0.1=0.382, pct<= 0.5=0.958
radius_target_3_4 ~ 2.7484 * radius_input_2_5: mean_abs=3.8899, median_abs=3.3421, max_abs=15.0179, pct<= 0.1=0.414, pct<= 0.5=0.958
radius_target_3_4 ~ 1.8189 * radius_input_3_5: mean_abs=4.0696, median_abs=3.4797, max_abs=15.2736, pct<= 0.1=0.406, pct<= 0.5=0.954
radius_target_1_2 ~ 1.0 * radius_input_8_10: mean_abs=3.0167, median_abs=3.0672, max_abs=7.9140, pct<= 0.1=0.250, pct<= 0.5=0.980
radius_target_3_4 ~ 1.8385 * radius_input_1_7: mean_abs=4.2208, median_abs=3.8288, max_abs=13.3759, pct<= 0.1=0.374, pct<= 0.5=0.962
radius_target_1_2 ~ 1.0 * radius_input_7_9: mean_abs=3.0723, median_abs=3.0364, max_abs=7.7173, pct<= 0.1=0.250, pct<= 0.5=0.972
radius_target_3_4 ~ 1.8420 * radius_input_7_9: mean_abs=4.1569, median_abs=3.5432, max_abs=13.4061, pct<= 0.1=0.372, pct<= 0.5=0.964
radius_target_3_4 ~ 1.9407 * radius_input_4_7: mean_abs=4.1966, median_abs=3.6783, max_abs=14.5549, pct<= 0.1=0.368, pct<= 0.5=0.970
radius_target_3_4 ~ 2.0333 * radius_input_2_8: mean_abs=4.3012, median_abs=3.8737, max_abs=12.9878, pct<= 0.1=0.336, pct<= 0.5=0.962
radius_target_3_4 ~ 2.3944 * radius_input_2_4: mean_abs=3.9389, median_abs=3.3291, max_abs=14.7322, pct<= 0.1=0.396, pct<= 0.5=0.954
radius_target_3_4 ~ 2.0076 * radius_input_8_9: mean_abs=4.2775, median_abs=3.5862, max_abs=13.9872, pct<= 0.1=0.386, pct<= 0.5=0.962
radius_target_3_4 ~ 2.5764 * radius_input_1_11: mean_abs=4.0026, median_abs=3.5215, max_abs=14.0069, pct<= 0.1=0.388, pct<= 0.5=0.968
radius_target_3_4 ~ 2.5899 * radius_input_2_12: mean_abs=3.8717, median_abs=3.2986, max_abs=13.7235, pct<= 0.1=0.426, pct<= 0.5=0.958
