Top 500 candidate near-equalities (sorted by mean abs residual):
sign_target_3 ~ -1.0000 * sign_target_4: mean_abs=0.0000, median_abs=0.0000, max_abs=0.0000, pct<= 0.1=1.000, pct<= 0.5=1.000
radius_target_1_2 ~ 1.0397 * radius_input_1_3: mean_abs=1.4622, median_abs=1.3224, max_abs=4.3995, pct<= 0.1=0.658, pct<= 0.5=0.972
l2_all_target ~ 1.0558 * l2_all_input: mean_abs=3.0968, median_abs=2.8035, max_abs=8.9758, pct<= 0.1=0.622, pct<= 0.5=0.982
radius_target_1_2 ~ 1.0 * absdiff_input_7_11: mean_abs=1.5228, median_abs=1.3884, max_abs=4.6618, pct<= 0.1=0.648, pct<= 0.5=0.978
radius_target_1_2 ~ 1.1894 * absdiff_input_1_11: mean_abs=1.4346, median_abs=1.2205, max_abs=5.1690, pct<= 0.1=0.658, pct<= 0.5=0.974
l2_all_target ~ 1.0 * l2_all_input: mean_abs=3.3111, median_abs=2.7731, max_abs=11.9618, pct<= 0.1=0.576, pct<= 0.5=0.986
radius_target_1_2 ~ 1.4059 * radius_input_1_2: mean_abs=1.3565, median_abs=1.1376, max_abs=4.6833, pct<= 0.1=0.692, pct<= 0.5=0.970
absdiff_target_3_4 ~ 1.4117 * absdiff_input_7_10: mean_abs=2.4607, median_abs=2.0476, max_abs=8.6140, pct<= 0.1=0.696, pct<= 0.5=0.976
radius_target_1_2 ~ 1.0 * radius_input_3_9: mean_abs=1.5922, median_abs=1.4147, max_abs=5.5957, pct<= 0.1=0.622, pct<= 0.5=0.982
diff_target_3_4 ~ -1.4117 * diff_input_7_10: mean_abs=2.4610, median_abs=2.0475, max_abs=8.6140, pct<= 0.1=0.696, pct<= 0.5=0.976
radius_target_1_2 ~ 0.9921 * radius_input_3_8: mean_abs=1.5418, median_abs=1.4004, max_abs=4.9565, pct<= 0.1=0.644, pct<= 0.5=0.976
absdiff_target_3_4 ~ 1.1467 * radius_target_3_4: mean_abs=3.6891, median_abs=3.1686, max_abs=11.1442, pct<= 0.1=0.430, pct<= 0.5=1.000
radius_target_1_2 ~ 1.0 * radius_input_3_8: mean_abs=1.5558, median_abs=1.3884, max_abs=4.8945, pct<= 0.1=0.640, pct<= 0.5=0.976
radius_target_1_2 ~ 1.4100 * radius_input_2_9: mean_abs=1.3466, median_abs=1.1903, max_abs=4.1691, pct<= 0.1=0.708, pct<= 0.5=0.960
radius_target_1_2 ~ 1.2134 * absdiff_input_2_11: mean_abs=1.4380, median_abs=1.2448, max_abs=5.3152, pct<= 0.1=0.654, pct<= 0.5=0.972
absdiff_target_3_4 ~ 1.2822 * absdiff_input_3_10: mean_abs=2.6214, median_abs=2.2611, max_abs=9.2102, pct<= 0.1=0.644, pct<= 0.5=0.978
radius_target_1_2 ~ 1.0 * radius_input_1_3: mean_abs=1.5858, median_abs=1.3732, max_abs=5.3930, pct<= 0.1=0.640, pct<= 0.5=0.978
radius_target_1_2 ~ 1.1842 * radius_input_2_7: mean_abs=1.4533, median_abs=1.2739, max_abs=5.0485, pct<= 0.1=0.644, pct<= 0.5=0.972
radius_target_1_2 ~ 1.0 * radius_input_3_7: mean_abs=1.7585, median_abs=1.5279, max_abs=5.9608, pct<= 0.1=0.610, pct<= 0.5=0.982
radius_target_1_2 ~ 1.2459 * radius_input_1_10: mean_abs=1.4498, median_abs=1.3850, max_abs=4.8582, pct<= 0.1=0.634, pct<= 0.5=0.978
radius_target_1_2 ~ 0.9539 * absdiff_input_4_10: mean_abs=1.6709, median_abs=1.4861, max_abs=5.1321, pct<= 0.1=0.624, pct<= 0.5=0.980
radius_target_1_2 ~ 0.9100 * absdiff_input_3_5: mean_abs=1.7035, median_abs=1.6253, max_abs=5.7276, pct<= 0.1=0.622, pct<= 0.5=0.972
absdiff_target_3_4 ~ 1.7213 * radius_input_3_7: mean_abs=2.5231, median_abs=2.1972, max_abs=7.8203, pct<= 0.1=0.680, pct<= 0.5=0.976
radius_target_1_2 ~ 1.2349 * radius_input_4_7: mean_abs=1.4744, median_abs=1.3205, max_abs=4.8152, pct<= 0.1=0.656, pct<= 0.5=0.978
radius_target_1_2 ~ 1.1920 * absdiff_input_9_11: mean_abs=1.4830, median_abs=1.3243, max_abs=4.5554, pct<= 0.1=0.648, pct<= 0.5=0.970
radius_target_1_2 ~ 1.1695 * radius_input_1_7: mean_abs=1.5072, median_abs=1.3744, max_abs=5.7039, pct<= 0.1=0.658, pct<= 0.5=0.976
radius_target_1_2 ~ 1.0492 * radius_input_2_3: mean_abs=1.5815, median_abs=1.4688, max_abs=4.5349, pct<= 0.1=0.614, pct<= 0.5=0.974
radius_target_1_2 ~ 1.1719 * radius_input_7_9: mean_abs=1.5013, median_abs=1.3283, max_abs=4.8332, pct<= 0.1=0.620, pct<= 0.5=0.976
radius_target_1_2 ~ 1.1668 * radius_input_8_10: mean_abs=1.4832, median_abs=1.3205, max_abs=5.1134, pct<= 0.1=0.634, pct<= 0.5=0.972
diff_target_3_4 ~ -1.2822 * diff_input_3_10: mean_abs=2.6337, median_abs=2.2618, max_abs=9.2111, pct<= 0.1=0.646, pct<= 0.5=0.974
maxabs2_target_1_2 ~ 0.5756 * maxabs2_target_3_4: mean_abs=2.8685, median_abs=2.1710, max_abs=12.4573, pct<= 0.1=0.586, pct<= 0.5=1.000
radius_target_1_2 ~ 1.2481 * radius_input_9_10: mean_abs=1.5063, median_abs=1.2845, max_abs=4.6676, pct<= 0.1=0.648, pct<= 0.5=0.978
radius_target_1_2 ~ 1.0318 * absdiff_input_10_12: mean_abs=1.7344, median_abs=1.5024, max_abs=5.8131, pct<= 0.1=0.590, pct<= 0.5=0.980
absdiff_target_3_4 ~ 1.6272 * absdiff_input_1_10: mean_abs=2.5959, median_abs=2.3967, max_abs=8.7625, pct<= 0.1=0.636, pct<= 0.5=0.970
radius_target_1_2 ~ 1.0 * absdiff_input_10_12: mean_abs=1.8025, median_abs=1.5545, max_abs=6.5616, pct<= 0.1=0.568, pct<= 0.5=0.982
radius_target_1_2 ~ 1.2627 * radius_input_2_10: mean_abs=1.5022, median_abs=1.2827, max_abs=4.8477, pct<= 0.1=0.636, pct<= 0.5=0.972
absdiff_target_3_4 ~ 1.9852 * radius_input_7_10: mean_abs=2.4517, median_abs=2.0579, max_abs=8.4342, pct<= 0.1=0.690, pct<= 0.5=0.972
radius_target_1_2 ~ 1.0 * radius_input_2_3: mean_abs=1.7490, median_abs=1.4750, max_abs=5.4492, pct<= 0.1=0.576, pct<= 0.5=0.978
radius_target_1_2 ~ 1.0 * absdiff_input_4_10: mean_abs=1.8316, median_abs=1.5243, max_abs=6.2704, pct<= 0.1=0.604, pct<= 0.5=0.980
radius_target_1_2 ~ 1.3849 * radius_input_1_9: mean_abs=1.5035, median_abs=1.3166, max_abs=5.4426, pct<= 0.1=0.638, pct<= 0.5=0.968
absdiff_target_3_4 ~ 2.1771 * absdiff_input_1_11: mean_abs=2.6260, median_abs=2.2341, max_abs=9.4619, pct<= 0.1=0.658, pct<= 0.5=0.972
absdiff_target_3_4 ~ 2.5734 * radius_input_1_2: mean_abs=2.4831, median_abs=2.0823, max_abs=8.5727, pct<= 0.1=0.692, pct<= 0.5=0.968
absdiff_target_3_4 ~ 1.6505 * absdiff_input_2_10: mean_abs=2.6539, median_abs=2.1366, max_abs=8.6496, pct<= 0.1=0.654, pct<= 0.5=0.966
diff_target_3_4 ~ -1.6271 * diff_input_1_10: mean_abs=2.6084, median_abs=2.4018, max_abs=8.7642, pct<= 0.1=0.636, pct<= 0.5=0.968
radius_target_1_2 ~ 1.0326 * absdiff_input_5_7: mean_abs=1.6358, median_abs=1.4020, max_abs=5.9874, pct<= 0.1=0.622, pct<= 0.5=0.962
absdiff_target_3_4 ~ 1.6289 * absdiff_input_9_10: mean_abs=2.6761, median_abs=2.2688, max_abs=8.5181, pct<= 0.1=0.658, pct<= 0.5=0.962
radius_target_1_2 ~ 1.0834 * radius_input_3_4: mean_abs=1.6786, median_abs=1.5401, max_abs=5.0102, pct<= 0.1=0.596, pct<= 0.5=0.972
absdiff_target_3_4 ~ 1.8065 * absdiff_input_7_11: mean_abs=2.7366, median_abs=2.4468, max_abs=8.8571, pct<= 0.1=0.646, pct<= 0.5=0.970
absdiff_target_3_4 ~ 2.5809 * radius_input_2_9: mean_abs=2.4650, median_abs=2.1789, max_abs=7.6314, pct<= 0.1=0.708, pct<= 0.5=0.960
diff_target_3_4 ~ -1.6289 * diff_input_9_10: mean_abs=2.6782, median_abs=2.2717, max_abs=8.5180, pct<= 0.1=0.658, pct<= 0.5=0.962
radius_target_1_2 ~ 1.6777 * radius_input_2_11: mean_abs=1.5138, median_abs=1.3979, max_abs=5.2009, pct<= 0.1=0.634, pct<= 0.5=0.972
absdiff_target_3_4 ~ 1.5992 * absdiff_input_3_11: mean_abs=2.9357, median_abs=2.6237, max_abs=9.3702, pct<= 0.1=0.608, pct<= 0.5=0.968
absdiff_target_3_4 ~ 2.2211 * absdiff_input_2_11: mean_abs=2.6323, median_abs=2.2785, max_abs=9.7295, pct<= 0.1=0.654, pct<= 0.5=0.968
radius_target_1_2 ~ 1.2929 * radius_input_2_8: mean_abs=1.6399, median_abs=1.4023, max_abs=6.1301, pct<= 0.1=0.600, pct<= 0.5=0.966
diff_target_3_4 ~ -1.6505 * diff_input_2_10: mean_abs=2.6609, median_abs=2.1646, max_abs=8.6501, pct<= 0.1=0.654, pct<= 0.5=0.966
radius_target_1_2 ~ 1.3607 * radius_input_4_8: mean_abs=1.6317, median_abs=1.4619, max_abs=5.4616, pct<= 0.1=0.600, pct<= 0.5=0.962
radius_target_1_2 ~ 1.6371 * radius_input_1_11: mean_abs=1.5628, median_abs=1.3659, max_abs=5.3353, pct<= 0.1=0.620, pct<= 0.5=0.968
radius_target_1_2 ~ 1.2774 * radius_input_8_9: mean_abs=1.6554, median_abs=1.4219, max_abs=5.8695, pct<= 0.1=0.616, pct<= 0.5=0.970
absdiff_target_3_4 ~ 1.9061 * radius_input_3_9: mean_abs=2.6846, median_abs=2.4261, max_abs=8.8402, pct<= 0.1=0.640, pct<= 0.5=0.964
radius_target_1_2 ~ 1.4912 * radius_input_1_4: mean_abs=1.5775, median_abs=1.3111, max_abs=5.3299, pct<= 0.1=0.630, pct<= 0.5=0.964
absdiff_target_3_4 ~ 1.7901 * radius_input_3_10: mean_abs=2.7161, median_abs=2.4186, max_abs=9.4073, pct<= 0.1=0.624, pct<= 0.5=0.960
radius_target_1_2 ~ 1.0 * absdiff_input_5_7: mean_abs=1.7202, median_abs=1.4802, max_abs=6.4645, pct<= 0.1=0.612, pct<= 0.5=0.962
absdiff_target_3_4 ~ 1.5203 * absdiff_input_8_10: mean_abs=2.7763, median_abs=2.5574, max_abs=8.4256, pct<= 0.1=0.622, pct<= 0.5=0.966
absdiff_target_3_4 ~ 1.9032 * radius_input_1_3: mean_abs=2.6766, median_abs=2.4206, max_abs=8.0532, pct<= 0.1=0.638, pct<= 0.5=0.962
radius_target_1_2 ~ 1.0 * radius_input_7_10: mean_abs=1.9047, median_abs=1.7575, max_abs=5.5636, pct<= 0.1=0.538, pct<= 0.5=0.976
radius_target_1_2 ~ 1.2840 * absdiff_input_2_5: mean_abs=1.6333, median_abs=1.4446, max_abs=5.6321, pct<= 0.1=0.580, pct<= 0.5=0.968
radius_target_1_2 ~ 1.5218 * radius_input_2_4: mean_abs=1.5277, median_abs=1.4030, max_abs=4.9379, pct<= 0.1=0.622, pct<= 0.5=0.960
radius_target_1_2 ~ 1.3123 * radius_input_7_11: mean_abs=1.6701, median_abs=1.5307, max_abs=5.4572, pct<= 0.1=0.588, pct<= 0.5=0.972
radius_target_1_2 ~ 1.1250 * radius_input_3_12: mean_abs=1.7696, median_abs=1.6041, max_abs=4.8358, pct<= 0.1=0.556, pct<= 0.5=0.972
radius_target_1_2 ~ 1.1350 * radius_input_3_11: mean_abs=1.7822, median_abs=1.5761, max_abs=5.1777, pct<= 0.1=0.556, pct<= 0.5=0.974
diff_target_3_4 ~ -1.8065 * diff_input_7_11: mean_abs=2.7398, median_abs=2.4468, max_abs=8.8572, pct<= 0.1=0.646, pct<= 0.5=0.970
radius_target_1_2 ~ 1.6081 * radius_input_1_12: mean_abs=1.5618, median_abs=1.4168, max_abs=4.5551, pct<= 0.1=0.638, pct<= 0.5=0.960
absdiff_target_3_4 ~ 2.1677 * radius_input_2_7: mean_abs=2.6602, median_abs=2.3318, max_abs=9.2413, pct<= 0.1=0.644, pct<= 0.5=0.970
absdiff_target_3_4 ~ 1.8161 * radius_input_3_8: mean_abs=2.8222, median_abs=2.5634, max_abs=9.0728, pct<= 0.1=0.618, pct<= 0.5=0.966
radius_target_1_2 ~ 1.2972 * radius_input_7_12: mean_abs=1.6596, median_abs=1.4876, max_abs=4.9069, pct<= 0.1=0.596, pct<= 0.5=0.974
diff_target_3_4 ~ -1.5202 * diff_input_8_10: mean_abs=2.7865, median_abs=2.5578, max_abs=8.4267, pct<= 0.1=0.624, pct<= 0.5=0.966
diff_target_3_4 ~ -2.1770 * diff_input_1_11: mean_abs=2.6487, median_abs=2.2370, max_abs=9.4626, pct<= 0.1=0.656, pct<= 0.5=0.968
absdiff_target_3_4 ~ 2.2806 * radius_input_1_10: mean_abs=2.6538, median_abs=2.5353, max_abs=8.8929, pct<= 0.1=0.634, pct<= 0.5=0.974
radius_target_1_2 ~ 1.4960 * radius_input_4_9: mean_abs=1.5963, median_abs=1.3828, max_abs=5.2479, pct<= 0.1=0.606, pct<= 0.5=0.960
absdiff_target_3_4 ~ 2.1408 * radius_input_1_7: mean_abs=2.7589, median_abs=2.5158, max_abs=10.4410, pct<= 0.1=0.658, pct<= 0.5=0.976
absdiff_target_3_4 ~ 2.2605 * radius_input_4_7: mean_abs=2.6988, median_abs=2.4172, max_abs=8.8142, pct<= 0.1=0.656, pct<= 0.5=0.972
radius_target_1_2 ~ 1.2593 * absdiff_input_5_9: mean_abs=1.7005, median_abs=1.4903, max_abs=5.3089, pct<= 0.1=0.578, pct<= 0.5=0.966
diff_target_3_4 ~ -2.2211 * diff_input_2_11: mean_abs=2.6430, median_abs=2.2799, max_abs=9.7302, pct<= 0.1=0.654, pct<= 0.5=0.966
radius_target_1_2 ~ 1.2736 * radius_input_1_8: mean_abs=1.7703, median_abs=1.4914, max_abs=6.1902, pct<= 0.1=0.576, pct<= 0.5=0.972
radius_target_1_2 ~ 1.1009 * radius_input_7_8: mean_abs=1.8349, median_abs=1.4850, max_abs=7.0995, pct<= 0.1=0.560, pct<= 0.5=0.974
radius_target_1_2 ~ 1.6435 * radius_input_9_11: mean_abs=1.5598, median_abs=1.4083, max_abs=4.6841, pct<= 0.1=0.628, pct<= 0.5=0.954
diff_target_3_4 ~ -1.5992 * diff_input_3_11: mean_abs=2.9414, median_abs=2.6350, max_abs=9.3703, pct<= 0.1=0.606, pct<= 0.5=0.966
radius_target_1_2 ~ 1.7461 * radius_input_2_5: mean_abs=1.6370, median_abs=1.4974, max_abs=5.0537, pct<= 0.1=0.592, pct<= 0.5=0.970
radius_target_1_2 ~ 1.0846 * absdiff_input_8_11: mean_abs=1.7591, median_abs=1.5438, max_abs=6.1401, pct<= 0.1=0.566, pct<= 0.5=0.956
radius_target_1_2 ~ 1.3233 * radius_input_4_10: mean_abs=1.7221, median_abs=1.6326, max_abs=5.2672, pct<= 0.1=0.592, pct<= 0.5=0.968
absdiff_target_3_4 ~ 2.1451 * radius_input_7_9: mean_abs=2.7482, median_abs=2.4314, max_abs=8.8470, pct<= 0.1=0.620, pct<= 0.5=0.968
absdiff_target_3_4 ~ 2.1358 * radius_input_8_10: mean_abs=2.7149, median_abs=2.4172, max_abs=9.3601, pct<= 0.1=0.634, pct<= 0.5=0.966
absdiff_target_3_4 ~ 1.7462 * absdiff_input_4_10: mean_abs=3.0586, median_abs=2.7203, max_abs=9.3943, pct<= 0.1=0.596, pct<= 0.5=0.966
absdiff_target_3_4 ~ 2.1819 * absdiff_input_9_11: mean_abs=2.7145, median_abs=2.4241, max_abs=8.3386, pct<= 0.1=0.648, pct<= 0.5=0.962
absdiff_target_3_4 ~ 1.9206 * radius_input_2_3: mean_abs=2.8949, median_abs=2.6885, max_abs=8.3012, pct<= 0.1=0.598, pct<= 0.5=0.966
absdiff_target_3_4 ~ 2.2846 * radius_input_9_10: mean_abs=2.7572, median_abs=2.3513, max_abs=8.5440, pct<= 0.1=0.648, pct<= 0.5=0.962
radius_target_1_2 ~ 1.1556 * radius_input_3_5: mean_abs=1.8357, median_abs=1.8046, max_abs=5.5711, pct<= 0.1=0.534, pct<= 0.5=0.970
absdiff_target_3_4 ~ 2.5350 * radius_input_1_9: mean_abs=2.7521, median_abs=2.4099, max_abs=9.9626, pct<= 0.1=0.638, pct<= 0.5=0.962
absdiff_target_3_4 ~ 1.6657 * absdiff_input_3_5: mean_abs=3.1182, median_abs=2.9750, max_abs=10.4842, pct<= 0.1=0.576, pct<= 0.5=0.958
radius_target_1_2 ~ 1.6446 * radius_input_2_12: mean_abs=1.6634, median_abs=1.5205, max_abs=5.0440, pct<= 0.1=0.596, pct<= 0.5=0.962
radius_target_1_2 ~ 1.3089 * absdiff_input_4_11: mean_abs=1.7809, median_abs=1.5445, max_abs=5.8926, pct<= 0.1=0.556, pct<= 0.5=0.968
radius_target_1_2 ~ 1.0 * radius_input_3_4: mean_abs=2.0738, median_abs=1.7706, max_abs=7.0840, pct<= 0.1=0.492, pct<= 0.5=0.972
radius_target_1_2 ~ 1.4018 * radius_input_10_12: mean_abs=1.7928, median_abs=1.6275, max_abs=5.5562, pct<= 0.1=0.572, pct<= 0.5=0.972
absdiff_target_3_4 ~ 2.3114 * radius_input_2_10: mean_abs=2.7498, median_abs=2.3480, max_abs=8.8736, pct<= 0.1=0.636, pct<= 0.5=0.964
absdiff_target_3_4 ~ 1.8887 * absdiff_input_10_12: mean_abs=3.1747, median_abs=2.7502, max_abs=10.6409, pct<= 0.1=0.574, pct<= 0.5=0.976
radius_target_1_2 ~ 1.4455 * radius_input_8_12: mean_abs=1.7839, median_abs=1.4923, max_abs=5.9974, pct<= 0.1=0.600, pct<= 0.5=0.962
diff_target_3_4 ~ 1.8887 * diff_input_10_12: mean_abs=3.1749, median_abs=2.7502, max_abs=10.6409, pct<= 0.1=0.574, pct<= 0.5=0.976
radius_target_1_2 ~ 1.3439 * radius_input_5_7: mean_abs=1.7833, median_abs=1.6448, max_abs=6.0824, pct<= 0.1=0.582, pct<= 0.5=0.972
absdiff_target_3_4 ~ 1.8902 * absdiff_input_5_7: mean_abs=2.9943, median_abs=2.5664, max_abs=10.9598, pct<= 0.1=0.604, pct<= 0.5=0.960
absdiff_target_3_4 ~ 3.0710 * radius_input_2_11: mean_abs=2.7710, median_abs=2.5588, max_abs=9.5202, pct<= 0.1=0.634, pct<= 0.5=0.972
absdiff_target_3_4 ~ 2.3667 * radius_input_2_8: mean_abs=3.0018, median_abs=2.5669, max_abs=11.2211, pct<= 0.1=0.600, pct<= 0.5=0.962
radius_target_1_2 ~ 1.0 * absdiff_input_2_10: mean_abs=2.3515, median_abs=1.9723, max_abs=7.0936, pct<= 0.1=0.476, pct<= 0.5=0.972
diff_target_3_4 ~ -2.1819 * diff_input_9_11: mean_abs=2.7227, median_abs=2.4326, max_abs=8.3378, pct<= 0.1=0.648, pct<= 0.5=0.962
